,id,created_at,full_text,display_text_range,in_reply_to_user_id,in_reply_to_screen_name,is_quote_status,retweet_count,favorite_count,possibly_sensitive
18,1457647076414828547,Mon Nov 08 09:51:59 +0000 2021,Masel tov und alles Gute den jüdischen Gemeinden zur Grundsteinlegung der neuen #Synagoge in #Potsdam - 83 Jahre nach der Zerstörung der alten Synagoge endlich wieder ein sichtbarer Ort der Religionsausübung und ein wichtiges Zeichen gegen den wachsenden Antisemitismus. https://t.co/chJCxuofZo,"[0, 270]",,,True,47,921,False
19,1456172043980976131,Thu Nov 04 08:10:44 +0000 2021,"Wir sind es den Ermordeten und ihren Hinterbliebenen schuldig, rechter Gewalt auf allen Ebenen entschlossen entgegenzutreten. Dafür braucht es auch eine Sicherheitspolitik, die rechtsextreme Netzwerke sichtbar macht und wirksam bekämpft.","[0, 237]",2179010672.0,ABaerbock,False,63,1509,
20,1456172042676547585,Thu Nov 04 08:10:43 +0000 2021,Der Terror des #NSU war die schwerste rechtsterroristische Anschlagsserie in Deutschland und bis heute sind noch Fragen offen. Der 10. Jahrestag der Aufdeckung kann #KeinSchlussstrich sein.,"[0, 189]",2179010672.0,ABaerbock,False,60,1523,
21,1456172041355382786,Thu Nov 04 08:10:43 +0000 2021,"Enver Şimşek, Abdurrahim Özüdoğru, Süleyman Taşköprü, Habil Kılıç, Mehmet Turgut, İsmail Yaşar, Theodoros Boulgarides, Mehmet Kubaşık, Halit Yozgat und Michèle Kiesewetter wurden aufgrund rassistischer oder rechtsextremer Motive vom sogenannten #NSU ermordet. #KeinVergessen","[0, 274]",,,False,378,4440,
22,1452983288595898380,Tue Oct 26 12:59:45 +0000 2021,"Herzlichen Glückwunsch Frau Bundestagspräsidentin, liebe @baerbelbas! Alles Gute für Ihr Amt und die Aufgaben, die vor Ihnen liegen. #Bundestag","[0, 143]",,,False,93,3678,
23,1450844226024091655,Wed Oct 20 15:19:53 +0000 2021,Seit dem 17. Januar sitzt Nawalny schon in russischer Willkürhaft. Er muss endlich freigelassen werden. #freenavalny,"[0, 116]",2179010672.0,ABaerbock,False,56,1028,
24,1450844224614805518,Wed Oct 20 15:19:53 +0000 2021,"Gratulation an Alexej Nawalny zum #Sacharovpreis für geistige Freiheit. @navalny steht für den Kampf gegen Korruption und wirft auch ein Licht auf die mutige russische Zivilbevölkerung &amp; jene Menschen, die jeden Tag für Gerechtigkeit &amp; Demokratie einstehen.","[0, 265]",,,False,130,2058,
25,1450123118236872705,Mon Oct 18 15:34:28 +0000 2021,"Herzlichen Glückwunsch an Thomas de Maizière, @AnjaSiegesmund und Torsten Zugehör zur Wahl in das Präsidium des #DEKT. Vielen Dank für dieses wichtige Engagement in Zeiten des Wandels, des Umbruchs und der Erneuerung inner- und außerhalb der Kirchengemeinschaft #jetztistdiezeit","[0, 278]",,,False,25,488,
26,1449034693463183365,Fri Oct 15 15:29:27 +0000 2021,"Gemeinsam mit Robert Habeck und unserem Sondierungsteam empfehle ich deshalb dem Länderrat am Sonntag, dass wir den Weg zu Koalitionsgesprächen gehen.","[0, 150]",2179010672.0,ABaerbock,False,20,651,
27,1449034689843449859,Fri Oct 15 15:29:26 +0000 2021,"Damit steckt in diesem Papier enorm viel für die Modernisierung unseres Staates, eine fortschrittliche Gesellschaftspolitik, für eine klimagerechte Wirtschaft, eine verantwortungsvolle Außenpolitik und den Kampf gegen die Klimakrise.","[0, 233]",2179010672.0,ABaerbock,False,18,584,
28,1449034686894837764,Fri Oct 15 15:29:25 +0000 2021,"Mit dem Bekenntnis zum Kohleausstieg 2030 und einem Vorziehen der Überprüfung in diese Legislatur, mit Windausbau auf 2% der Fläche und erheblich mehr auf See, mit Solaranlagen auf Dächern als Standard und dem Ausstieg aus dem fossilen Verbrenner vor dem EU-weiten Ausstieg 2035.","[0, 279]",2179010672.0,ABaerbock,False,14,315,
29,1449034685024243716,Fri Oct 15 15:29:25 +0000 2021,"Aber wir haben auch immer betont: Für uns ist es besonders zentral, dass wir mit weitreichenden Klimaschutzmaßnahmen klimagerechten Wohlstand ermöglichen. Dafür bringen wir unser Land auf den 1,5 Grad-Pfad.","[0, 206]",2179010672.0,ABaerbock,False,10,277,
